Sensor Code,Sensor Name,Latitude,Longitude,SO2,NO2,CO,O3,PM10,PM2_5
SPBRA,Příbram-Březové Hory,49.676315,13.991222,,81.5,,,55.0,
SRORA,Rožďalovice-Ruská,50.301983,15.178303,3.2,17.2,,,34.0,39.0
STCSA,Tobolka-Čertovy schody,49.918503,14.094489,,44.2,728,47.9,,29.0
CCBDA,České Budějovice,48.984386,14.465684,3.5,49.4,,9.6,33.0,25.0
CCBTA,Čes. Budějovice-Třešň.,48.965904,14.508792,,,,,,
CCHUA,Churáňov,49.068436,13.614801,0.5,2.5,,113.5,,
CKOCA,Kocelovice,49.467274,13.837456,,,,,,
CPRAA,Prachatice,49.016087,14.000444,,47.1,,38.3,42.0,
CSTRA,Strakonice-ZŠ Strakonice,49.285000,13.908000,,,,,,
CTABA,Tábor,49.411232,14.676389,,41.3,580,8.8,65.0,
CHVOA,Hojná Voda,48.724197,14.723382,,,,79.6,24.0,
PKLSA,Klatovy soud,49.400608,13.286923,,,,,,
PKUJA,Kamenný Újezd,49.722000,13.618538,5.9,17.8,,,30.0,15.0
PPLAA,Plzeň-Slovany,49.732449,13.402281,,,487,9.4,41.0,31.0
PPLEA,Plzeň-střed,49.747330,13.381039,2.7,28.5,,,46.0,28.0
PPLLA,Plzeň-Lochotín,49.770126,13.368221,1.3,35.4,,13.6,46.0,34.0
PPLVA,Plzeň-Doubravka,49.768616,13.423381,,,,9.0,42.0,24.0
PPMOA,Plzeň - mobil 09.03.2021 Plzeň - Jižní Předměstí,49.730801,13.355887,8.5,38.3,770,6.0,59.0,42.0
PPRMA,Přimda,49.669582,12.677884,10.9,11.3,,100.3,,
KCHMA,Cheb,50.065861,12.363442,,,,,39.0,
KPRBA,Přebuz,50.372478,12.615380,1.3,5.4,,97.6,,
KSOMA,Sokolov,50.172825,12.672818,1.3,42.8,,13.6,43.0,35.0
UDCMA,Děčín,50.774151,14.218794,,27.7,,,61.0,48.0
UDOKA,Doksany,50.458855,14.170162,7.2,28.7,,22.3,,
UCHMA,Chomutov,50.467529,13.412696,,,,,42.0,
UKRUA,Krupka,50.696671,13.847692,12.8,,,,38.0,
ULOMA,Lom,50.585766,13.673418,5.6,20.3,,41.5,44.0,27.0
ULTTA,Litoměřice,50.540897,14.119409,8.8,,,10.0,87.0,
UMEDA,Měděnec,50.427589,13.130143,,,,,43.0,
UMOMA,Most,50.510365,13.645272,7.5,61.4,,10.4,77.0,44.0
URVHA,Rudolice v Horách,50.579834,13.419506,,,,117.3,34.0,
USNZA,Sněžník,50.789444,14.086799,6.1,8.8,,105.9,,
USTEA,Štětí,50.454155,14.374163,9.6,30.8,,29.1,56.0,41.0
UTPMA,Teplice ,50.645279,13.851250,7.5,,,28.9,47.0,47.0
UTUSA,Tušimice,50.376587,13.327622,2.9,20.3,,55.5,31.0,29.0
UUDIA,Ústí n. L.-Prokopa Diviše,50.662979,14.031243,,,,,,
UULDA,Ústí n.L.-Všebořická (hot spot),50.683125,13.997873,,78.0,434,,75.0,48.0
UULKA,Ústí n.L.-Kočkov,50.683525,14.041195,4.5,10.3,,108.3,38.0,29.0
UULMA,Ústí n.L.-město,50.661095,14.043063,,54.3,,,59.0,
LCLMA,Česká Lípa,50.698044,14.537345,,,,,41.0,
LFRTA,Frýdlant,50.940651,15.069817,6.1,,,65.6,,
LLILA,Liberec-Rochlice,50.755100,15.069967,4.3,58.5,,17.8,38.0,19.0
LSOUA,Souš,50.789646,15.319683,,,,118.7,,
HHKBA,Hradec Králové-Brněnská,50.195362,15.846376,,44.0,456,,57.0,30.0
HHKOK,Hradec Králové-observatoř,50.177631,15.838390,,,,38.3,,
HHKSA,Hr.Král.-Sukovy sady,50.211700,15.814149,,,,,,
HKRYA,Krkonoše-Rýchory,50.660439,15.850090,,,,125.9,,
HPLOA,Polom,50.350563,16.322727,2.7,2.5,,112.9,25.0,
HTRTA,Trutnov - Tkalcovská,50.565880,15.903927,,,,,49.0,
EMTPA,Moravská Třebová - Piaristická.,49.758995,16.666721,,44.0,,,56.0,50.0
EPAOA,Pardubice-Rosice,50.042198,15.739414,,,,,,
EPAUA,Pardubice Dukla,50.024036,15.763549,6.9,,,9.6,44.0,35.0
ESVRA,Svratouch,49.735085,16.034197,,,,,,
JJIZA,Jihlava-Znojemská,49.392445,15.591278,,51.1,,,56.0,22.0
JKMYA,Kostelní Myslová,49.159153,15.439048,,,,77.8,,
JKOSA,Košetice,49.573395,15.080278,3.6,7.9,281,68.0,25.0,31.0
JPEMA,Pelhřimov,49.435001,15.208333,,,,,18.0,12.0
JTREA,Třebíč,49.223438,15.865778,,,,25.7,52.0,
JZNZA,Ždár nad Sázavou,49.564556,15.941000,,,,,39.0,15.0
BBDNA,Brno - Dětská nemocnice,49.202724,16.616287,,48.2,,27.7,43.0,44.0
BBMAA,Brno-Arboretum,49.216087,16.613836,,61.4,,21.1,50.5,35.5
BBMKA,Brno-Zvonařka,49.185883,16.613661,,,,,,
BBMLA,Brno-Lány,49.165260,16.580812,4.0,71.9,379,6.0,42.5,29.7
BBMSA,Brno-Svatoplukova,49.208160,16.642517,,88.8,539,,67.5,32.9
BBMVA,Brno-Výstaviště,49.189621,16.569538,,40.0,,,50.9,33.5
BBNAA,Brno-Masná,49.188831,16.627001,,,,,53.0,38.0
BBNIA,Brno-Líšeň,49.213211,16.678024,,,,,48.0,25.0
BBNVA,Brno-Úvoz (hot spot),49.198090,16.593643,,,489,,46.0,29.0
BBNYA,Brno-Tuřany,49.148972,16.696217,3.5,48.6,,17.0,43.0,36.0
BHODA,Hodonín,48.857277,17.131390,,,,,39.0,25.0
BKUCA,Kuchařovice,48.881355,16.085817,1.3,12.8,274,59.1,35.0,34.0
BMISA,Mikulov-Sedlec,48.791767,16.724497,1.3,20.1,,45.9,40.0,33.0
BMOCA,Sivice,49.208195,16.778444,,54.3,,,109.0,33.0
BMOKA,Mokrá,49.219444,16.755306,,,,,,
BZNOA,Znojmo,48.842957,16.060127,,61.0,,,38.0,24.0
MBELA,Bělotín,49.587082,17.804220,,,,,36.0,39.0
MJESA,Jeseník-lázně,50.242241,17.190180,3.5,9.8,,98.6,33.0,
MOLJA,Olomouc-Hejčín,49.601463,17.238073,,45.7,,20.3,70.0,51.0
MOLSA,Olomouc-Šmeralova,49.592918,17.266167,,,,,61.0,33.0
MPHRA,Hranice,49.551888,17.731222,,,,,,
MPRRA,Přerov,49.451656,17.454159,4.8,,,16.6,48.0,44.0
MPSTA,Prostějov,49.467857,17.114725,,,,,42.0,
MSMSA,"Šumperk, ZŠ Vrchlického",49.971584,16.978472,,,,,,
ZOTMA,Otrokovice-město,49.208912,17.534742,,,,,,
ZROZA,Rožnov pod Radhoštěm,49.460110,18.138222,,32.5,,,38.2,27.4
ZSNVA,Štítná n.Vláří,49.047817,18.007828,,,,107.3,,
ZTNVA,Těšnovice,49.259392,17.410561,5.1,15.9,,66.6,37.0,33.0
ZUHRA,Uherské Hradiště,49.067951,17.466848,,55.3,617,,45.3,
ZVMZA,Valašské Meziříčí,49.472057,17.966976,,,,,48.0,34.0
ZZLNA,Zlín,49.232906,17.667175,4.0,36.2,,22.9,41.0,19.0
ZZZSA,Zlín - ZŠ Kvítkova,49.228474,17.675083,,70.0,,9.2,37.6,30.9
TBKRA,Bílý Kříž,49.502609,18.538561,6.7,10.7,,93.2,,
TCERA,Červená hora,49.777142,17.541946,,9.8,,99.6,,
TCTNA,Český Těšín,49.748959,18.609726,,,,,43.0,37.0
TFMIA,Frýdek-Místek,49.671791,18.351070,,38.6,,,48.0,28.0
THAOA,Havířov ZÚ,49.771526,18.443193,,,,,58.0,
THARA,Havířov,49.790977,18.406836,,,,,31.0,20.0
TKAOK,Karviná ZÚ,49.858891,18.557777,,49.0,,,63.0,45.0
TKAVA,Karviná,49.863796,18.551453,16.8,50.5,,,83.0,53.0
TNSVA,Nošovice,49.653072,18.431831,,,,,,
TOCBA,Ostrava-Českobratrská (hot spot),49.839848,18.289976,,90.5,689,,98.0,54.0
TOFFA,Ostrava-Fifejdy,49.839188,18.263689,11.5,72.5,,6.0,102.0,
TOHAA,Ostrava-Hrabůvka,49.779583,18.266260,22.1,61.6,532,,32.0,
TOHEA,Ostrava-Heřmanice,49.860889,18.323584,17.0,49.2,493,,62.0,
TOHUA,Ostrava-Hrušov,49.867722,18.283751,,,,,80.5,57.1
TOKPA,Ostrava-Krásné Pole,49.843472,18.124750,13.3,22.6,277,,54.0,
TOMHK,Ostrava-Mariánské Hory,49.824860,18.263655,12.5,66.2,564,5.0,91.0,
TOPDA,Ostrava-Poruba DD,49.835472,18.165222,,65.2,,,72.0,46.0
TOPOA,Ostrava-Poruba ČHMÚ,49.825294,18.159275,8.5,52.8,,,50.0,
TOPRA,Ostrava-Přívoz,49.856258,18.269741,11.5,75.2,,,79.0,61.0
TOREK,Ostrava-Radvanice ZÚ,49.807056,18.339140,17.0,46.9,681,21.3,98.0,54.0
TOROK,Ostrava-Radvanice OZO,49.818558,18.340389,28.5,41.1,,26.1,102.0,
TOVKA,Opava-Kateřinky,49.944988,17.909531,,35.2,,35.1,56.0,52.0
TOZRA,Ostrava-Zábřeh,49.796040,18.247181,,,,,57.0,49.0
TRYCA,Rychvald,49.871670,18.377254,,,,,80.0,49.0
TSTDA,Studénka,49.720936,18.089306,10.9,33.9,535,10.2,49.0,38.0
TTRKA,Třinec-Kanada,49.672379,18.643038,,54.1,,,69.0,36.0
TTROA,Třinec-Kosmos,49.668114,18.677799,,,,20.9,39.0,33.0
TVERA,Věřňovice,49.924679,18.422873,14.6,32.5,,,112.0,90.0
